i,j,val,ci,cj
71,116,4.75e-06,0,1
71,147,3.42e-08,0,1
71,194,1.99e-03,0,1
72,0,8.99e-04,0,0
72,11,2.38e-10,0,0
72,96,4.27e-07,0,0
72,99,1.34e-03,0,0
72,141,2.76e-03,0,1
72,191,5.19e-08,0,1
73,2,2.95e-06,0,0
73,104,4.57e-10,0,0
73,107,6.82e-08,0,0
73,171,4.62e-03,0,1
73,189,3.79e-04,0,1
74,39,2.99e-03,0,0
74,74,1.74e-03,0,0
74,166,2.73e-04,0,1
74,175,8.66e-08,0,1
74,195,2.85e-08,0,1
75,16,4.02e-03,0,0
75,63,1.29e-06,0,0
75,111,9.79e-04,0,0
75,151,2.03e-10,0,1
76,5,4.67e-03,0,0
76,10,3.23e-04,0,0
76,196,5.01e-06,0,1
77,39,2.32e-09,0,0
77,74,3.26e-03,0,0
77,77,6.73e-05,0,0
77,195,1.67e-03,0,1
78,49,3.71e-03,0,0
78,52,5.88e-09,0,0
78,59,3.36e-10,0,0
78,169,1.29e-03,0,1
78,174,3.74e-07,0,1
79,117,5.58e-04,0,1
79,128,1.35e-06,0,1
79,139,4.44e-03,0,1
80,34,4.99e-03,0,0
80,87,6.82e-06,0,0
81,6,7.31e-04,0,0
81,17,1.35e-04,0,0
81,67,4.13e-03,0,0
81,105,2.79e-08,0,0
82,21,1.34e-10,0,0
82,92,1.65e-07,0,0
82,111,5.37e-10,0,0
82,151,4.00e-03,0,1
82,173,1.00e-07,0,1
82,177,1.00e-03,0,1
83,83,3.72e-05,0,0
83,90,4.41e-03,0,0
83,118,5.49e-04,0,1
84,34,5.16e-06,0,0
84,68,4.83e-03,0,0
84,79,1.63e-04,0,0
85,37,5.00e-03,0,0
85,196,2.59e-09,0,1
86,20,5.00e-03,0,0
86,36,4.16e-08,0,0
87,36,2.32e-04,0,0
87,78,4.77e-03,0,0
88,7,7.32e-04,0,0
88,32,2.43e-07,0,0
88,138,4.27e-03,0,1
88,148,1.47e-10,0,1
89,3,2.54e-05,0,0
89,57,4.74e-03,0,0
89,108,1.60e-04,0,0
89,188,7.69e-05,0,1
90,28,4.82e-05,0,0
90,118,4.44e-03,0,1
90,121,5.10e-04,0,1
91,16,1.08e-09,0,0
91,63,4.74e-03,0,0
91,111,2.58e-04,0,0
91,151,4.78e-07,0,1
92,46,2.06e-08,0,0
92,88,5.75e-04,0,0
92,124,4.42e-03,0,1
93,106,3.16e-04,0,0
93,109,4.62e-03,0,0
93,185,6.59e-05,0,1
94,97,4.96e-09,0,0
94,163,5.00e-03,0,1
95,71,2.00e-03,0,0
95,157,7.00e-10,0,1
95,191,3.00e-03,0,1
96,0,1.58e-03,0,0
96,11,1.20e-03,0,0
96,43,7.76e-10,0,0
96,96,5.36e-10,0,0
96,99,4.12e-06,0,0
96,141,2.22e-03,0,1
96,191,4.90e-07,0,1
97,45,1.94e-07,0,0
97,56,5.27e-06,0,0
97,66,4.81e-03,0,0
97,120,1.80e-04,0,1
97,157,3.84e-08,0,1
97,160,1.18e-07,0,1
98,6,2.73e-03,0,0
98,17,2.23e-03,0,0
